time,Eco2,TVOC,pm10_env,pm10_standard,PM2.5,pm25_standard,pm100_env,pm100_standard,tem,CO2,Humidity_in,Temp_in,Temp_out,Dew Point,Humidity_out,Wind,Wind Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
29/05/2021 21:00,544.8,0,8.3,8.3,10.3,10.3,10.5,10.5,26.79,459.7,37.45,80.222,61.3,44.1 °F,53,East,2.5,2.6 mph,30.48 in,0.00 in,0.00 in,0,6.6 w/m²
29/05/2021 21:05,830.6,0,8.2,8.2,10.2,10.2,10.4,10.4,26.77,508.3,40.27,80.186,61.1,44.2 °F,54,ESE,2.2,2.2 mph,30.48 in,0.00 in,0.00 in,0,4.9 w/m²
29/05/2021 21:10,872.8,0,9.7,9.7,12.3,12.3,12.3,12.3,26.9,561,42.05,80.42,60.8,44.5 °F,55,ESE,2.9,3.0 mph,30.48 in,0.00 in,0.00 in,0,3.8 w/m²
29/05/2021 21:15,904.1,0,7.1,7.4,11.4,10.2,10.2,11.4,27.06,579,42.57,80.708,60.6,44.7 °F,56,East,2.3,2.3 mph,30.48 in,0.00 in,0.00 in,0,2.5 w/m²
29/05/2021 21:20,958.4,0,9.8,7.7,13.5,13.5,13.6,13.6,27.15,590.2,43.44,80.87,60.3,44.9 °F,57,ESE,2.6,2.7 mph,30.49 in,0.00 in,0.00 in,0,1.9 w/m²
29/05/2021 21:25,1023,15.1,10,10,12.8,12.8,12.9,12.9,27.25,629.5,44.76,81.05,60,45.4 °F,59,ESE,4.4,4.7 mph,30.49 in,0.00 in,0.00 in,0,1.2 w/m²
29/05/2021 21:30,1063.1,37.6,9.3,9.3,12.6,12.6,13,13,27.36666667,669.5333333,45.23333333,81.26,59.6,45.3 °F,60,ESE,5,5.4 mph,30.49 in,0.00 in,0.00 in,0,0.7 w/m²
29/05/2021 21:35,1113.2,66.1,9.6,9.6,12.3,12.3,12.6,12.6,27.46,714,45.91,81.428,59.5,45.5 °F,60,East,4.9,5.3 mph,30.49 in,0.00 in,0.00 in,0,0.3 w/m²
29/05/2021 21:40,1160.4,88.8,9.4,8.6,12.3,12.3,12.3,12.3,27.51,759.2,46.43,81.518,59.3,45.8 °F,61,East,5.2,5.6 mph,30.49 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 21:45,1194.2,111.9,9.4,9.4,12.7,12.7,13,13,27.6,805.4,47.12,81.68,59.1,46.3 °F,63,ESE,5.1,5.4 mph,30.49 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 21:50,1282.9,141.3,9.7,5.7,12.4,11.1,12.8,11.5,27.6,846.2,47.54,81.68,58.7,46.4 °F,64,East,2.6,2.7 mph,30.50 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 21:55,1384.7,174.7,9.4,9.4,11.7,11.7,12.1,12.1,27.6,892.2,48.13,81.68,58.6,46.4 °F,64,East,2.8,2.9 mph,30.50 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 22:00,1540.9,216.7,9.3,9.3,11.8,11.8,12.1,12.1,27.6,946,48.83,81.68,58.6,46.7 °F,65,ESE,2.5,2.7 mph,30.50 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 22:05,1809.9,250.9,8.6,8.6,12,12,12.4,12.4,27.62,1006.2,49.61,81.716,58.4,46.7 °F,65,East,2.2,2.2 mph,30.50 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 22:10,1917.9,266.7,8.8,8.8,11.8,11.8,12.3,12.3,27.69,1049.1,50.22,81.842,58.2,46.6 °F,66,ENE,3.9,4.2 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 22:15,2078.7,290.1,8.8,8.8,11.7,11.7,11.9,11.9,27.7,1093.7,50.77,81.86,58,46.8 °F,67,ENE,3.4,3.6 mph,30.50 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 22:20,2286.8,310.1,8.8,8.8,11.1,11.1,11.7,11.7,27.7,1133,51.19,81.86,57.8,46.8 °F,67,NE,2.5,2.6 mph,30.50 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 22:25,2685,274.5,7.9,7.3,10.4,10.4,10.7,12.1,27.7,1175.1,51.68,81.86,57.7,46.9 °F,68,NE,2.7,2.8 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 22:30,2890,367.1,8.9,7.9,12.5,12.5,12.6,12.6,27.7,1216.3,52.02,81.86,57.6,46.8 °F,67,ENE,2.8,2.9 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 22:35,3020,382.2,7.7,7.7,10.6,10.6,10.7,10.7,27.7,1261,52.51,81.86,57.5,46.9 °F,68,ENE,2.3,2.4 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 22:40,3134.1,397,8,8,10.1,10.1,10.3,10.3,27.7,1300.5,52.82,81.86,57.4,47.2 °F,69,East,2.4,2.5 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 22:45,3754.8,449.2,7.6,7.6,9.8,9.8,9.8,9.8,27.7,1340.2,53.2,81.86,57.1,47.1 °F,69,ESE,2.7,2.8 mph,30.50 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 22:50,3910.9,464.8,7.6,7.6,10.1,10.1,10.2,10.2,27.7,1390.5,53.61,81.86,56.8,46.9 °F,70,ESE,3.5,3.7 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 22:55,3942.5,470.6,8.4,8.4,11,11,11.2,11.2,27.7,1433.6,53.88,81.86,56.7,46.9 °F,70,East,3.3,3.6 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 23:00,3976.8,480.4,8.1,8.1,10.9,10.9,11,11,27.7,1464.6,54.22,81.86,56.6,46.7 °F,70,East,2.5,2.5 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 23:05,4055.5,493.2,8.1,5.1,11,11,11.3,11.3,27.7,1509.1,54.78,81.86,56.5,47.2 °F,71,ESE,2.5,2.5 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 23:10,4103.9,502.7,7.3,7.3,9.7,9.7,9.8,9.8,27.7,1549.7,55.2,81.86,56.3,47.1 °F,71,East,3.2,3.3 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 23:15,4404.2,527.3,7.2,5.4,9.8,9.8,9.8,9.8,27.7,1590.3,55.56,81.86,56.3,47.2 °F,71,ENE,1.6,1.6 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 23:20,4900.5,568.6,7.7,6,10.1,10.1,10.4,10.4,27.7,1633.4,55.87,81.86,56,46.7 °F,71,ENE,3.3,3.4 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 23:25,4874,571.7,7.4,7.4,9.6,9.6,9.7,9.7,27.7,1671.2,56.19,81.86,55.7,46.5 °F,71,ENE,2.8,2.9 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 23:30,4887,575.9,7.6,4.7,9.7,9.7,9.9,9.9,27.7,1712.9,56.63,81.86,55.6,46.3 °F,71,East,3.9,4.1 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 23:35,4895.3,583.1,7.4,7.4,9.6,9.6,10.1,10.1,27.7,1750.6,56.72,81.86,55.3,46.3 °F,72,ESE,3.1,3.2 mph,30.50 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 23:40,4927,468,7,4.6,8.8,8.8,8.9,8,27.7,1803.2,57.26,81.86,55.1,46.2 °F,72,East,3.5,3.7 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 23:45,5095.3,599.9,7.8,7.1,10.1,10.1,10.2,10.2,27.7,1846,57.71,81.86,54.9,46.1 °F,72,East,3,3.2 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 23:50,5290.8,619.4,8,8,10.8,10.8,10.8,10.8,27.7,1882.4,58.12,81.86,54.6,46.0 °F,73,ESE,3.2,3.3 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
29/05/2021 23:55,5269.6,622.7,7.5,7.5,9.6,9.6,9.7,9.7,27.7,1914.9,58.48,81.86,54.5,46.0 °F,73,East,3.1,3.4 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 00:00,5266.7,625.1,7.5,7.5,9.5,9.5,9.7,9.7,27.7,1966,58.63,81.86,54.5,46.1 °F,73,East,3.5,3.7 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 00:05,5272,562.7,6.8,3.4,8.9,8.1,9.1,9.1,27.7,2018.4,59.03,81.86,54.5,46.4 °F,74,ENE,2.6,2.7 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 00:10,5281.3,632,7.4,6.5,9.3,9.3,9.4,9.4,27.7,2054.5,59.71,81.86,54.2,46.1 °F,74,ENE,3.9,4.1 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 00:15,5334.1,638.9,7.2,7.2,9.1,9.1,9.3,9.3,27.73,2117.9,60.54,81.914,54,46.0 °F,74,ENE,4.2,4.6 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 00:20,5344.5,646.6,6.5,5.2,9.2,9.2,9.2,9.2,27.78,2190,61.22,82.004,53.9,46.2 °F,75,ENE,3.2,3.4 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 00:25,6412,669.1,7.1,7.1,9,9.9,10,9.1,27.76,2237.5,61.4,81.968,53.8,46.3 °F,76,ENE,2.9,3.0 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 00:30,6408.2,673.6,7,4.2,9.2,9.2,9.5,9.5,27.79,2274.3,61.82,82.022,53.6,46.4 °F,77,East,3.5,3.7 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 00:35,6415.1,679,7.3,7.3,9.5,9.5,9.7,9.7,27.78,2333.2,62.26,82.004,53.4,46.5 °F,78,ESE,2.9,3.0 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 00:40,6392.2,677.6,7.7,7.7,9.8,9.8,9.8,9.8,27.74,2373.4,62.27,81.932,53.2,46.6 °F,79,East,2.3,2.4 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 00:45,6377,680.2,7.3,4.1,9.1,8.1,9.3,9.3,27.71,2405.8,62.38,81.878,53.2,46.7 °F,79,East,3,3.2 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 00:50,6962.4,705,7.1,7.1,9.2,9.2,9.4,9.4,27.7,2454.5,63.07,81.86,53.2,46.9 °F,80,East,2.9,3.0 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 00:55,7123.3,712.3,7,7,8.9,8.9,9.1,9.1,27.7,2502,63.57,81.86,52.8,46.7 °F,80,ESE,1.5,1.5 mph,30.50 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 01:00,7021.1,709.3,7,7,9.1,9.1,9.1,9.1,27.7,2523.7,63.68,81.86,52.8,46.9 °F,81,East,1.4,1.4 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 01:05,6998.1,640.7,6.5,6.5,8.4,9.4,8.4,8.4,27.7,2542,63.61,81.86,52.7,47.1 °F,81,East,3.4,3.5 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
30/05/2021 01:10,6988.2,716.3,6.8,6.8,8.9,8.9,9,9,27.7,2553.7,63.47,81.86,52.6,47.0 °F,82,East,4,4.2 mph,30.51 in,0.00 in,0.00 in,0,0 w/m²
