time,eco2,TVOC,pm10_env,pm10_standard,PM2.5,pm25_standard,pm100_env,pm100_standard,tem,CO2,hum,tem_in
29/05/2021 18:02,14206,3382.5,9.5,9.5,14,14,14,14,28.4,3127,80.2,83.12
29/05/2021 18:03,14339.5,3401.5,23.5,34,33.5,48,39.5,50,28.4,3139,80.05,83.12
29/05/2021 18:04,14374,3399.5,35.5,54,53,79,65.5,83,28.45,3151.5,80.65,83.21
29/05/2021 18:05,14732.5,3421,35.5,49.5,51,71,58.5,73.5,28.55,3163,81.2,83.39
29/05/2021 18:06,16670.5,4099,166,250,243,365.5,253.5,381,28.6,3174,81.3,83.48
29/05/2021 18:07,18227,4863.5,286,431,456.5,685.5,487,732.5,28.6,3186,81.8,83.48
29/05/2021 18:08,18221.5,4952,307.5,462.5,494.5,743.5,530.5,797,28.7,3200,83.3,83.66
29/05/2021 18:09,19467.5,5128.5,313,470.5,524,787.5,561,841.5,28.8,3222.5,84.75,83.84
29/05/2021 18:10,22646,5662.5,350,526.5,611,917.5,688.5,1033.5,28.9,3239,85.55,84.02
29/05/2021 18:11,26153.5,6158.5,354.5,532.5,614,922.5,682,1024,29,3248,87.2,84.2
29/05/2021 18:12,27579,6358,335,0,567.5,853,622.5,934.5,29.1,3256,90.1,84.38
29/05/2021 18:13,27061.5,6304.5,329.5,496,561.5,843.5,618.5,928.5,29.2,3267.5,91.8,84.56
29/05/2021 18:14,27276,6400.5,345,519,569,854.5,617.5,928,29.25,3284.5,93.4,84.65
29/05/2021 18:15,27314,6354.5,325.5,489,546,820.5,590.5,887.5,29.3,3294,94,84.74
29/05/2021 18:16,26418.5,6308.5,321,483,524.5,788.5,579.5,871,29.4,3298,94.25,84.92
29/05/2021 18:17,27187.5,6201,314,472.5,511,767.5,553.5,831.5,29.45,3298.5,94.5,85.01
29/05/2021 18:18,26746.5,6254.5,321.5,484,546.5,821,591,887,29.55,3300.5,95.4,85.19
29/05/2021 18:19,26242,6146.5,315.5,475.5,518,779,553,831,29.6,3305,96.75,85.28
29/05/2021 18:20,25409,5993,313.5,472.5,510.5,767.5,546,819.5,29.65,3303,97.45,85.37
29/05/2021 18:21,26027,6097,305.5,459,511.5,769,574,863,29.75,3303,97.8,85.55
29/05/2021 18:22,25485,6158.5,313,471,520.5,781.5,564,847.5,29.75,3311,97.8,85.55
29/05/2021 18:23,25308.5,6074,153.5,231,510,373.5,542.5,407,29.8,3316,97.8,85.64
29/05/2021 18:24,24904.5,5851,302,0,497,746.5,537,807,29.8,3324.5,98.1,85.64
29/05/2021 18:25,23844.5,5770,300.5,0,492.5,739,530,796,29.8,3331,98.25,85.64
29/05/2021 18:26,23819.5,5835.5,293.5,442,479,720,516,776,29.8,3329,97.95,85.64
29/05/2021 18:27,23227,5670.5,294.5,443,474.5,713.5,514.5,773,29.8,3332,97.8,85.64
29/05/2021 18:28,22873.5,5624,288,434,455,684.5,494,741.5,29.8,3331.5,97.8,85.64
29/05/2021 18:29,22520.5,5620.5,290.5,437,461.5,693,490.5,737.5,29.8,3335,97.8,85.64
29/05/2021 18:30,22230,5543.5,276.5,415.5,434,652.5,466.5,701.5,29.8,3342,97.7,85.64
29/05/2021 18:31,21927.5,5447.5,290,436,460,690.5,492,739,29.8,3344,97.7,85.64
29/05/2021 18:32,21738,5332,283,425.5,450.5,677,494,742,29.7,3350.5,97.65,85.46
29/05/2021 18:33,21385,5374.5,273,410.5,440,661.5,481.5,723.5,29.7,3355,97.55,85.46
29/05/2021 18:34,20754,5389.5,278,418,429,645,460.5,692,29.7,3355,97.6,85.46
29/05/2021 18:35,20438.5,5286,272.5,410.5,430.5,647.5,461.5,692.5,29.7,3350.5,97.7,85.46
29/05/2021 18:36,20300,5232.5,270,406.5,424.5,638,457,686,29.7,3352.5,97.6,85.46
29/05/2021 18:37,19757.5,5190,271.5,409.5,427.5,641.5,457,687,29.6,3355,97.55,85.28
29/05/2021 18:38,19618.5,5143.5,270,407,423.5,637,454,682.5,29.6,3363.5,97.9,85.28
29/05/2021 18:39,19631.5,5090,270,405.5,427.5,642,456,686,29.6,3366,97.7,85.28
29/05/2021 18:40,19416.5,5059.5,265,400,417.5,627.5,453,680.5,29.6,3363.5,97.75,85.28
29/05/2021 18:41,18799,4905.5,268.5,405,426,640.5,459.5,691,29.6,3362.5,97.75,85.28
29/05/2021 18:42,18286,4936.5,266.5,401.5,422,635,455,683.5,29.6,3366,97.85,85.28
29/05/2021 18:43,18597,4848,261,392.5,421.5,633.5,457.5,688,29.6,3363.5,97.9,85.28
29/05/2021 18:44,19240.5,5032.5,256.5,386,401.5,603,438.5,658,29.5,3361.5,97.6,85.1
29/05/2021 18:45,19934,5067,262,394.5,420.5,631.5,452.5,679.5,29.5,3362,97.75,85.1
29/05/2021 18:46,20905.5,2620,259.5,390.5,404,607.5,435.5,327.5,29.5,3365,97.7,85.1
29/05/2021 18:47,21574,5474.5,256.5,385,401,602.5,431.5,648,29.5,3366.5,97.55,85.1
29/05/2021 18:48,20704,5359,259.5,192.5,387.5,290,216.5,325.5,29.5,3371,97.6,85.1
29/05/2021 18:49,19871,5170.5,253.5,191,388,583.5,416,625,29.5,3366,97.45,85.1
29/05/2021 18:50,19152,5102,255.5,384.5,401,603,430.5,646.5,29.5,3357,97.4,85.1
29/05/2021 18:51,18559,5070.5,251,377.5,389.5,586,420,632,29.5,3346.5,97.3,85.1
29/05/2021 18:52,18470.5,5082.5,249.5,375.5,389.5,585,420.5,632.5,29.4,3340,97.4,84.92
29/05/2021 18:53,18735.5,5098,244,366.5,382,573,411.5,618,29.4,3344,97.4,84.92
29/05/2021 18:54,18324.5,5082.5,241,362.5,373.5,561.5,395,593.5,29.4,3344,97.4,84.92
29/05/2021 18:55,18002,5020.5,239,360,383,575,411,617,29.4,3349.5,97.4,84.92
29/05/2021 18:56,17876.5,4898,243,365.5,377,567,415.5,624,29.4,3358,97.45,84.92
29/05/2021 18:57,17964,4882.5,246.5,371.5,384.5,578.5,410,616.5,29.4,3366,97.55,84.92
29/05/2021 18:58,17849.5,4779,246,369.5,379.5,570,410.5,617,29.4,3369,97.4,84.92
29/05/2021 18:59,17777,4686.5,253.5,381,388,583,420.5,632,29.4,3372,97.35,84.92
