time,eco2,TVOC,pm10_env,pm10_standard,PM2.5,pm25_standard,pm100_env,pm100_standard,tem,CO2,hum,tem_in
31/05/2021 18:02,3512,521,11.5,11.5,17.5,17.5,17.5,17.5,28.25,2214,67.85,82.85
31/05/2021 18:03,3529,518,17.5,17.5,26,26,26,26,28.25,2222.5,69.35,82.85
31/05/2021 18:04,3597.5,532,18,18,24,24,25.5,25.5,28.3,2231.5,69.75,82.94
31/05/2021 18:05,3891,570,19,19,25,25,26,26,28.3,2244.5,70.65,82.94
31/05/2021 18:06,4184.5,627,17.5,9.5,24,24,25,25,28.35,2254,71.4,83.03
31/05/2021 18:07,4280.5,638.5,13.5,0,21.5,21.5,22,22,28.4,2254,71.9,83.12
31/05/2021 18:08,4494.5,672,17,7.5,24,24,25,25,28.4,2255,72.25,83.12
31/05/2021 18:09,4461.5,673,19,20.5,28,29.5,30.5,30.5,28.5,2260,72.6,83.3
31/05/2021 18:10,4555.5,691,42,59.5,65.5,93,71.5,97,28.5,2263,72.75,83.3
31/05/2021 18:11,4655,735.5,254,383,481.5,724,546,820.5,28.55,2277,73.95,83.39
31/05/2021 18:12,4856.5,846,382.5,575,960,1441.5,1132,1699,28.65,2292.5,75.65,83.57
31/05/2021 18:13,5090,1003.5,385,578,1437.5,2157,1753,2631.5,28.8,2303,77,83.84
31/05/2021 18:14,5233,1110,306,460.5,2051,3078,2691,4038,28.95,2308.5,78.15,84.11
31/05/2021 18:15,5371.5,1192,303,456,2081,3122,2702,4054,29.05,2319,78.7,84.29
31/05/2021 18:16,5625.5,1262,303.5,455.5,2002.5,3005,2619,3930,29.2,2329.5,79.5,84.56
31/05/2021 18:17,6014.5,1337,311,468,2072,3109.5,2740,4111.5,29.3,2337,79.8,84.74
31/05/2021 18:18,6247.5,707.5,291,226,2120,1563.5,2820,4231,29.4,2348,80.35,84.92
31/05/2021 18:19,6667,1519,285.5,0,2151.5,3228,2860,4292,29.55,2353,80.35,85.19
31/05/2021 18:20,7403.5,1704.5,277.5,417.5,2146.5,3221.5,2967,4452,29.7,2363.5,80.45,85.46
31/05/2021 18:21,6812,1639.5,275,413,2212,3319,3041.5,4563.5,29.8,2370.5,82,85.64
31/05/2021 18:22,6770,1606,285.5,429.5,2177,3266.5,2959.5,4439.5,29.85,2377,81,85.73
31/05/2021 18:23,7842.5,1790.5,279.5,421,2194,3292,2943.5,4416,29.95,2386.5,81.95,85.91
31/05/2021 18:24,8071,1826.5,277,416.5,2194.5,3293,2974,4461.5,30,2395,82.4,86
31/05/2021 18:25,8017.5,1828,285,429,2182,3274,2908,4362.5,30.1,2397,82,86.18
31/05/2021 18:26,8441,1888.5,302,454.5,2181,3273,2841,4262.5,30.1,2399,82.15,86.18
