time,Eco2,TVOC,pm10_env,pm10_standard,PM2.5,pm25_standard,pm100_env,pm100_standard,tem,CO2,Humidity_in,Temp_in,Temp_out,Dew Point,Humidity_out,Wind,Wind Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,deltatemp
22/06/2021 21:05,400.9,1,1.9,1.9,2.5,2.5,2.4,2.7,24.8,484.1,40.43,76.64,58.1,44.0 °F,60,NNE,1.9,2.0 mph,30.32 in,0.00 in,0.00 in,0,10.2 w/m²,18.54
22/06/2021 21:10,400.9,1,2.3,2.3,3,3,3.1,3.1,24.88,527.3,41.22,76.784,58,43.9 °F,60,NE,3,3.1 mph,30.32 in,0.00 in,0.00 in,0,8.2 w/m²,18.784
22/06/2021 21:15,400.9,1,2.3,2.3,3.4,3.4,3.6,3.5,25.08,573.8,41.78,77.144,57.8,43.7 °F,60,NNE,4,4.4 mph,30.32 in,0.00 in,0.00 in,0,6.5 w/m²,19.344
22/06/2021 21:20,400.9,1,3,3,3.8,3.8,3.7,3.8,25.29,614.8,42.3,77.522,57.7,43.8 °F,60,NNE,3.5,3.7 mph,30.33 in,0.00 in,0.00 in,0,4.9 w/m²,19.822
22/06/2021 21:25,400.9,1,2.6,2.6,3.5,3.5,3.7,3.6,25.47,672.3,42.77,77.846,57.6,43.8 °F,60,NNE,5,5.4 mph,30.33 in,0.00 in,0.00 in,0,3.8 w/m²,20.246
22/06/2021 21:30,400.9,1,2.7,2.7,3.5,3.5,3.8,3.7,25.63,721.2,43.5,78.134,57.5,43.7 °F,60,NNE,3.5,3.7 mph,30.33 in,0.00 in,0.00 in,0,2.2 w/m²,20.634
22/06/2021 21:35,400.9,1,3.2,3.2,3.9,3.9,3.8,4,25.72,775.8,43.75,78.296,57.3,43.8 °F,61,NNE,3.6,3.8 mph,30.33 in,0.00 in,0.00 in,0,1.3 w/m²,20.996
22/06/2021 21:40,401,1,2.7,2.7,3.2,3.2,3.4,3.5,25.83,847.4,44.22,78.494,57.2,43.7 °F,61,NNE,4.3,4.5 mph,30.33 in,0.00 in,0.00 in,0,0.7 w/m²,21.294
22/06/2021 21:45,400.9,1,2.1,2.1,2.7,2.7,2.7,2.7,25.9,897.9,44.5,78.62,57.1,43.9 °F,62,NNE,2.9,3.0 mph,30.33 in,0.00 in,0.00 in,0,0.3 w/m²,21.52
22/06/2021 21:50,400.9,1,2.6,2.6,3.3,3.3,3.9,3.6,25.94,905.9,44.64,78.692,56.9,44.0 °F,62,NNE,2.2,2.3 mph,30.33 in,0.00 in,0.00 in,0,0 w/m²,21.792
