time,concentration
1,456.5
2,462
3,471
4,483.5
5,498
6,509.5
7,520.5
8,530
9,538
10,551.5
11,564
12,573.5
13,578
14,580
15,580
16,578
17,579
18,578
19,580
20,582
21,587
22,596
23,606
24,612
25,618.5
26,628.5
27,638.5
28,650
29,656.5
30,663
31,669.6666667
32,677
33,681.5
34,692.5
35,704
36,714
37,725
38,734.5
39,743
40,751
41,758.5
42,767.5
43,776
44,784.5
45,795
46,807.5
47,817
48,823
49,829
50,837
51,845.5
52,854
53,865.5
54,878.5
55,887
56,890
57,898
58,907.5
59,917.5
60,931
61,947
62,961
63,973.5
64,985
65,998.5
66,1006
67,1016.5
68,1025
69,1033.5
70,1042.5
71,1048
72,1056
73,1065.5
74,1076
75,1085
76,1092.5
77,1102
78,1113
79,1119.5
80,1125
81,1131
82,1140.5
83,1149
84,1158
85,1166
86,1174
87,1184.5
88,1193
89,1199
90,1208.5
91,1217
92,1225
93,1232
94,1241.5
95,1252
96,1261
97,1270
98,1280.5
99,1288
100,1292.5
101,1297.5
102,1305.5
103,1319
104,1327.5
105,1333
106,1338
107,1346.5
108,1356
109,1369
110,1379
111,1388
112,1402.5
113,1414
114,1419.5
115,1425.5
116,1432.5
117,1442.5
118,1448
119,1452
120,1457.5
121,1462
122,1471.5
123,1480
124,1487.5
125,1500
126,1511
127,1519
128,1528
129,1534
130,1538.5
131,1547
132,1560
133,1569
134,1575.5
135,1583.5
136,1591.5
137,1598
138,1603
139,1613.5
140,1623.5
141,1633
142,1644.5
143,1652.5
144,1658.5
145,1665
146,1670.5
147,1676.5
148,1685.5
149,1696
150,1705.5
151,1713
152,1723
153,1727
154,1731
155,1739.5
156,1748
157,1761
158,1773.5
159,1783
160,1794
161,1805
162,1812
163,1822
164,1832
165,1837.5
166,1845.5
167,1853
168,1862
169,1868
170,1873
171,1882
172,1891.5
173,1897.5
174,1903.5
175,1905.5
176,1913
177,1921
178,1931.5
179,1944
180,1952.5
181,1963.5
182,1978
183,1992
184,2003
185,2012
186,2019
187,2026.5
188,2031.5
189,2038.5
190,2042
191,2054.5
192,2063.5
193,2074
194,2082.5
195,2098.5
196,2120
197,2136.5
198,2152
199,2167
200,2182.5
201,2191
202,2200
203,2209.5
204,2219.5
205,2230.5
206,2238
207,2245.5
208,2254
209,2254
210,2260
211,2271
212,2285
213,2301.5
214,2314
215,2325
216,2335
217,2343
218,2349
219,2354.5
220,2365
221,2373
222,2382.5
223,2392
224,2396
225,2400
226,2405.5
227,2410.5
228,2417
229,2430.5
230,2441.5
231,2455.5
232,2468
233,2477
234,2485.5
235,2493
236,2504
237,2512
238,2515.5
239,2517
240,2520
241,2521
242,2527
243,2533.5
244,2539
245,2539
246,2542
247,2544
248,2546
249,2549
250,2551
251,2553.5
252,2554.5
253,2560.5
254,2569
255,2579.5
256,2586
257,2591.5
258,2596.5
259,2603
260,2609.5
261,2610.5
262,2617
263,2622.5
264,2628
265,2632
266,2634
267,2640.5
268,2649
269,2653.5
270,2656.5
271,2660.5
272,2667
273,2673
274,2677.5
275,2683
276,2687
277,2691
278,2693.5
279,2698.5
280,2701
281,2702
282,2699.5
283,2701
284,2707
285,2712.5
286,2718
287,2723
288,2734
289,2738.5
290,2745
291,2748
292,2753
293,2757.5
294,2762.5
295,2764.5
296,2770
297,2770.5
298,2773
299,2778.5
300,2785
301,2791
302,2793
303,2795.5
304,2800
305,2801
306,2802
307,2805
308,2798.5
309,2788.5
310,2789
311,2782.5
312,2780
313,2775.5
314,2769.5
315,2773.5
316,2775
317,2782.5
318,2789
319,2789.5
320,2788
321,2790.5
322,2794
323,2800
324,2806.5
325,2809.5
326,2815
327,2817.5
328,2822
329,2824.5
330,2827
331,2831.5
332,2836.5
333,2845
334,2846
335,2849
336,2851
337,2851.5
338,2854
339,2861.5
340,2868.5
341,2874
342,2876.5
343,2879.5
344,2881
345,2886
346,2894
347,2899.5
348,2903
349,2906.5
350,2910
351,2912.5
352,2912
353,2915.5
354,2922.5
355,2924.5
356,2935
357,2940
358,2942.5
359,2946
360,2950
361,2956.5
362,2963.5
363,2975.5
364,2983.5
365,2993.5
366,3002
367,3002
368,2999
369,2997
370,2994.5
371,2996
372,3006
373,3014.5
374,3020
375,3024
376,3028
377,3029.5
378,3032.5
379,3036.5
380,3042
381,3046.5
382,3047.5
383,3054
384,3054
385,3053.5
386,3060.5
387,3061.5
388,3058
389,3054.5
390,3055
391,3056
392,3055.5
393,3056.5
394,3067
395,3072
396,3080
397,3080
398,3081.5
399,3081
400,3085
401,3086.5
402,3088.5
403,3092
404,3096.5
405,3098.5
406,3106.5
407,3111
408,3111.5
409,3115.5
410,3118
411,3119.5
412,3120
413,3122.5
414,3129
415,3134
416,3133
417,3135.5
418,3141.5
419,3145
420,3147.5
421,3147
422,3147
423,3148
424,3147
425,3148.5
426,3153
427,3153.5
428,3155
429,3162
430,3163
431,3165
432,3165.5
433,3169.5
434,3172
435,3178
436,3179.5
437,3184.5
438,3187.5
439,3186
440,3186.5
441,3192.5
442,3195.5
443,3195
444,3194.5
445,3200.5
446,3205
447,3208
448,3209
449,3214.5
450,3218.5
451,3221.5
452,3224.5
453,3228
454,3225.5
455,3226
456,3225.5
457,3225.5
458,3223.5
459,3224.5
460,3224.5
461,3225
462,3220
463,3220
464,3221.5
465,3221.5
466,3222.5
467,3223.5
468,3229.5
469,3232.5
470,3232.5
