time,eCO2,TVOC,pm10_env,pm10_standard,PM2.5,pm25_standard,pm100_env,pm100_standard,tem,CO2,Humidity_in,Temp_in,,,Temp_out,Dew Point,Humidity_out,Wind,Wind Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,deltatemp
23/05/2021 18:45,10552.6,3582.8,324.7,440.9,1663.5,2496.5,2231.6,3348.7,27.5,1324.5,50.62,81.5,,6:44 PM,54.5,44.8 °F,69,South,5.7,6.2 mph,29.82 in,0.00 in,0.09 in,1,73.1 w/m²,27
23/05/2021 18:50,6419.9,2858.9,356.6,535.8,1481,2222.5,1931.3,2898.2,27.35,1294.6,48.11,81.23,,6:49 PM,54.6,44.7 °F,69,SSE,5.1,5.5 mph,29.82 in,0.00 in,0.09 in,1,83.7 w/m²,26.63
23/05/2021 18:55,1576,1180.8,382.7,397.9,946.9,1421.4,1127.6,1692.4,27.13,947,41.18,80.834,,6:54 PM,54.6,44.6 °F,69,South,4.4,4.8 mph,29.81 in,0.00 in,0.09 in,1,81.5 w/m²,26.234
23/05/2021 19:00,791.7,549.6,310.6,466.8,598.5,898.7,680.3,1021.4,26.91,794.3,38.32,80.438,,6:59 PM,54.8,44.5 °F,69,South,4.1,4.5 mph,29.81 in,0.00 in,0.09 in,0,61.5 w/m²,25.638
23/05/2021 19:05,420.2,335.2,210.2,316.6,361.7,543.7,404.7,608.2,26.9,713.6,37,80.42,,7:04 PM,54.8,44.3 °F,68,South,5.2,5.8 mph,29.81 in,0.00 in,0.09 in,0,45.3 w/m²,25.62
23/05/2021 19:10,547.8,284.4,143,215.5,235.3,354.2,261,392.4,26.65,635.2,36,79.97,,7:09 PM,54.8,44.2 °F,67,South,3.4,3.6 mph,29.80 in,0.00 in,0.09 in,0,47 w/m²,25.17
23/05/2021 19:15,422.2,155.8,88.8,134.2,146.4,220.6,159.4,240.3,26.4,614.4,36.78,79.52,,7:14 PM,54.9,44.2 °F,67,SSW,4.9,5.2 mph,29.81 in,0.00 in,0.09 in,0,35.5 w/m²,24.62
23/05/2021 19:20,400,24.8,41.8,56,67.3,102.3,82.6,109.9,26.4,589.2,36.92,79.52,,7:19 PM,54.7,44.4 °F,68,SSE,3.2,3.4 mph,29.81 in,0.00 in,0.09 in,0,29.4 w/m²,24.82
23/05/2021 19:25,400,4.1,32.7,46.8,51.1,74,63.8,80.3,26.5,572.3,36.52,79.7,,7:24 PM,54.6,44.7 °F,69,SSW,2.9,3.0 mph,29.80 in,0.00 in,0.09 in,0,34.5 w/m²,25.1
23/05/2021 19:30,476.3,38.1,27.3,33.7,42.6,53.5,52.2,57.4,26.58,548.5,35.82,79.844,,7:29 PM,54.5,45.0 °F,70,SSW,4,4.2 mph,29.80 in,0.00 in,0.09 in,0,34.5 w/m²,25.344
23/05/2021 19:35,966.3,214.7,22.8,25.5,36.8,42.1,44.6,45.7,26.45,541.6,35.13,79.61,,7:34 PM,54.4,45.0 °F,71,South,3.9,4.2 mph,29.80 in,0.00 in,0.09 in,0,30.5 w/m²,25.21
23/05/2021 19:40,710.6,135.2,16.9,9.5,23.5,26.7,25.9,28.9,26.2,556.4,35.44,79.16,,7:39 PM,54.3,44.9 °F,71,South,6.8,7.5 mph,29.80 in,0.00 in,0.09 in,0,27.5 w/m²,24.86
23/05/2021 19:45,707.7,136.6,16.9,17.2,26.7,27.3,29.9,29.9,26.1,560.3,35.88,78.98,,7:44 PM,54.2,45.4 °F,72,South,4.7,5.0 mph,29.79 in,0.00 in,0.09 in,0,25.6 w/m²,24.78
23/05/2021 19:50,1102.4,239.4,17.3,17.3,27.7,28.1,30.5,30.5,26.11,570.2,36.86,78.998,,7:49 PM,54,45.4 °F,73,South,5.6,6.1 mph,29.79 in,0.00 in,0.09 in,0,22.8 w/m²,24.998
23/05/2021 19:55,726.6,122.4,12.4,12.4,20.5,20.5,22,22,26.24,594.2,36.65,79.232,,7:54 PM,53.9,45.3 °F,73,South,5.3,5.8 mph,29.79 in,0.00 in,0.09 in,0,21.1 w/m²,25.332
23/05/2021 20:00,562.3,46.3,7.5,8.1,12.5,12.5,13.2,13.2,26.3,562.4,36.23,79.34,,7:59 PM,53.8,45.4 °F,74,SSW,4.3,4.7 mph,29.79 in,0.00 in,0.09 in,0,20.5 w/m²,25.54
23/05/2021 20:05,568.3,93.1,5.7,3.3,8.9,8.9,9.2,9.2,26.37,543,36.27,79.466,,8:04 PM,53.7,45.7 °F,75,South,7.1,8.0 mph,29.79 in,0.00 in,0.09 in,0,18.2 w/m²,25.766
23/05/2021 20:10,757.7,173.7,4.5,4.5,7.7,7.7,8,8,26.32,535.5,35.95,79.376,,8:09 PM,53.3,45.8 °F,76,SSW,6.5,7.1 mph,29.79 in,0.00 in,0.09 in,0,13.1 w/m²,26.076
23/05/2021 20:15,661.7,143.1,3.7,3.7,5.7,5.7,6,6,26.21,525.8,35.95,79.178,,8:14 PM,53,46.3 °F,78,SSE,5.7,6.3 mph,29.79 in,0.00 in,0.09 in,0,9.4 w/m²,26.178
23/05/2021 20:20,667.1,129.5,2.7,2.7,4.4,4.4,4.7,4.7,26.15,523.7,36.22,79.07,,8:19 PM,52.8,46.5 °F,79,South,5.2,5.7 mph,29.79 in,0.00 in,0.09 in,0,9.4 w/m²,26.27
23/05/2021 20:25,423.9,43.9,2.8,2.8,4.4,4.4,4.5,4.5,26.17,520.2,36.31,79.106,,8:24 PM,52.7,46.7 °F,80,South,6.7,7.5 mph,29.79 in,0.00 in,0.09 in,0,8.5 w/m²,26.406
23/05/2021 20:30,487.8,45.4,2.6,2.3,4.6,4.6,5.2,5.2,26.23,527.5,36.31,79.214,,8:29 PM,52.7,46.7 °F,80,South,5.5,6.2 mph,29.78 in,0.00 in,0.09 in,0,8.5 w/m²,26.514
23/05/2021 20:35,495.8,46.1,2.7,2.7,3.8,3.8,4.3,4.3,26.28,513,35.82,79.304,,8:34 PM,52.5,46.8 °F,81,South,3.7,4.0 mph,29.78 in,0.00 in,0.09 in,0,5.8 w/m²,26.804
23/05/2021 20:40,400,0,2,1.3,3.2,3.2,3.9,3.9,26.22,490.7,35.68,79.196,,8:39 PM,52.5,46.7 °F,81,South,6.9,7.8 mph,29.77 in,0.00 in,0.09 in,0,4.3 w/m²,26.696
23/05/2021 20:45,405.6,0,1.9,1.9,3,3,3.2,3.2,26.17,489.4,35.81,79.106,,8:44 PM,52.4,46.8 °F,82,South,7.1,7.9 mph,29.76 in,0.00 in,0.09 in,0,2.8 w/m²,26.706
23/05/2021 20:50,400,3.5,1.6,1.6,2.7,2.7,2.7,2.7,26.12,484.3,36.03,79.016,,8:49 PM,52.3,46.6 °F,82,South,9.4,10.6 mph,29.77 in,0.00 in,0.09 in,0,2.2 w/m²,26.716
