time,eco2,TVOC,pm10_env,pm10_standard,pm25_env,pm25_standard,pm100_env,pm100_standard,tem_in,CO2,hum_in,tem_out,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
23/05/2021 21:00,1684.8,407.1,1.9,1.9,2.9,2.9,2.9,2.9,79.47,537.5,35.82,52.1,83,South,7.6,8.4 mph,29.77 in,0.00 in,0.09 in,0,1.3 w/m²
23/05/2021 21:05,1746.4,431.6,1.9,1.2,2.8,2.8,2.8,2.8,79.68,588.4,35.94,52.1,83,South,5.9,6.6 mph,29.76 in,0.00 in,0.09 in,0,0.8 w/m²
23/05/2021 21:10,1793.4,445.2,1.9,1.9,2.9,2.9,2.9,2.9,79.7,626.8,35.94,52,83,South,6,6.5 mph,29.76 in,0.00 in,0.09 in,0,0.2 w/m²
23/05/2021 21:15,2177.9,477.9,2.2,2.2,3.2,3.2,3.5,3.5,79.92,682.2,36.12,51.9,83,South,7.4,8.3 mph,29.76 in,0.00 in,0.09 in,0,0 w/m²
23/05/2021 21:20,2054.3,474.1,1.4,1.4,2.6,2.6,2.7,2.7,79.99,726.2,36.08,51.9,83,South,7.3,8.0 mph,29.76 in,0.00 in,0.09 in,0,0 w/m²
23/05/2021 21:25,2044.5,482.8,2.2,2.2,3.1,3.1,3.1,3.1,80.15,782.3,36.77,51.9,83,South,6.6,7.4 mph,29.76 in,0.09 in,0.11 in,0,0 w/m²
23/05/2021 21:30,2118.2,442.5,2,1.1,2.9,2.9,2.9,2.9,80.28,852.5,37.44,52,83,South,6.6,7.4 mph,29.75 in,0.09 in,0.11 in,0,0 w/m²
23/05/2021 21:35,2039.1,485.2,1.5,1.5,2.4,2.4,2.6,2.6,79.93,856.8,37.66,52.1,83,South,6.3,7.0 mph,29.75 in,0.09 in,0.11 in,0,0 w/m²
23/05/2021 21:40,2285.3,509.9,2.1,2.1,3,3,3.2,3.2,79.7,871.1,38.56,52.1,83,SSW,6.8,7.6 mph,29.75 in,0.00 in,0.11 in,0,0 w/m²
23/05/2021 21:45,2087.3,500.7,2,2,2.9,2.9,3.3,3.3,79.5,883.1,38.95,52.1,83,South,6.4,7.0 mph,29.74 in,0.00 in,0.11 in,0,0 w/m²
23/05/2021 21:50,2546.6,539.7,1.5,1.3,2.2,2.2,2.5,2.5,79.65,907.9,38.98,52.1,83,South,5.5,6.0 mph,29.74 in,0.00 in,0.11 in,0,0 w/m²
23/05/2021 21:55,2924.8,580.5,1.6,0.9,2.2,2.2,2.3,2.3,79.7,964.5,39.17,51.9,84,South,7.9,8.7 mph,29.74 in,0.00 in,0.11 in,0,0 w/m²
23/05/2021 22:00,3528,635.2,2.1,2.1,2.9,2.9,3,3,79.77,1000.2,39.11,51.9,85,SSW,7.2,8.1 mph,29.74 in,0.00 in,0.11 in,0,0 w/m²
23/05/2021 22:05,3938.5,680.2,0.8,0.8,1.6,1.6,1.9,1.9,79.88,1022.8,39,51.8,85,South,6.6,7.1 mph,29.73 in,0.09 in,0.12 in,0,0 w/m²
23/05/2021 22:10,4255.1,747.4,1.3,1.3,2.4,2.4,2.6,2.6,79.81,1038.6,39.07,51.8,85,South,7.5,8.3 mph,29.73 in,0.09 in,0.12 in,0,0 w/m²
23/05/2021 22:15,4467.3,847.2,1.3,1.3,2.4,2.4,2.8,2.8,79.9,1089.5,39.27,51.8,86,South,5.5,6.1 mph,29.73 in,0.09 in,0.12 in,0,0 w/m²
23/05/2021 22:20,4269.2,791.1,1.5,1,2.2,2.2,2.2,2.5,79.86,1121.1,39.3,51.8,86,SSW,6.2,6.9 mph,29.72 in,0.09 in,0.14 in,0,0 w/m²
23/05/2021 22:25,3915.4,698.5,1.1,1.1,1.8,1.8,1.9,1.9,79.81,1148.7,39.29,51.8,86,South,5.3,5.7 mph,29.72 in,0.09 in,0.14 in,0,0 w/m²
23/05/2021 22:30,3968.3,721.6,1.3,1.3,2.1,2.1,2.1,2.1,79.57,1175,39.74,51.8,86,South,6.7,7.4 mph,29.72 in,0.09 in,0.14 in,0,0 w/m²
