time,eco2,TVOC,pm10_env,pm10_standard,pm25_env,pm25_standard,pm100_env,pm100_standard,CO2,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,Solar
25/05/2021 21:00,400,0,4.6,4.6,6.3,6.3,6.6,6.6,516.6,37.66,77.378,52.5,45.2 °F,76,West,1.5,1.5 mph,30.06 in,0.00 in,0.00 in,3.1 w/m²
25/05/2021 21:05,400,0,4.6,4.6,6.5,6.5,6.9,6.9,546.3,37.82,77.756,52.5,45.2 °F,76,South,1.4,1.4 mph,30.06 in,0.00 in,0.00 in,2.1 w/m²
25/05/2021 21:10,400,0,4.1,2.5,5.9,5.9,6.1,6.1,586,37.95,78.098,52.6,45.5 °F,77,South,1.1,1.1 mph,30.07 in,0.00 in,0.00 in,1.8 w/m²
25/05/2021 21:15,400,0,4.7,4.7,6.1,6.1,6.3,6.3,650.8,38.21,78.35,52.5,45.2 °F,77,WSW,1.7,1.7 mph,30.07 in,0.00 in,0.00 in,1.4 w/m²
25/05/2021 21:20,400,0,4.4,4.4,6.5,6.5,7,7,709.6,38.43,78.656,52.5,45.5 °F,77,SW,1.4,1.4 mph,30.07 in,0.00 in,0.00 in,0.9 w/m²
25/05/2021 21:25,400,0,4.4,4.4,6.1,6.1,6.4,6.4,755.8,38.58,78.836,52.5,45.5 °F,77,SSW,1.7,1.7 mph,30.07 in,0.00 in,0.00 in,0.5 w/m²
25/05/2021 21:30,400,0.7,4.1,3.7,5.3,5.3,5.7,5.7,804.8,38.72,78.98,52.4,45.3 °F,77,South,2,2.0 mph,30.07 in,0.00 in,0.00 in,0.2 w/m²
25/05/2021 21:35,400,18.2,4.3,3.3,5.6,5.6,5.8,5.8,842,38.91,78.98,52.3,45.3 °F,77,SE,1.1,1.1 mph,30.07 in,0.00 in,0.00 in,0 w/m²
25/05/2021 21:40,400,40.2,3.8,3.8,5.9,5.9,5.9,5.9,876.5,39.17,79.142,52,45.1 °F,78,East,1,1.0 mph,30.07 in,0.00 in,0.00 in,0 w/m²
25/05/2021 21:45,400,59.9,3.7,3.7,5.5,5.5,5.8,5.8,911.6,39.36,79.16,51.9,45.1 °F,78,NE,0.9,0.9 mph,30.07 in,0.00 in,0.00 in,0 w/m²
25/05/2021 21:50,400,79.5,3.8,3.8,5.1,5.1,5.6,5.6,949.6,39.49,79.286,51.9,45.1 °F,78,NE,1.1,1.1 mph,30.08 in,0.00 in,0.00 in,0 w/m²
25/05/2021 21:55,400.2,87.7,3.7,3.5,4.9,4.9,5.4,6,990.8,39.71,79.34,51.9,45.1 °F,78,,1.4,1.4 mph,30.08 in,0.00 in,0.00 in,0 w/m²
25/05/2021 22:00,416.4,114,3.8,2.6,6,6,6.4,6.4,1019.4,39.82,79.34,51.9,45.1 °F,78,SW,1.3,1.4 mph,30.07 in,0.00 in,0.00 in,0 w/m²
25/05/2021 22:05,444.1,128.9,4,4,5.2,5.2,5.4,5.4,1047.6,40,79.448,51.8,45.1 °F,78,SSE,1.3,1.3 mph,30.07 in,0.00 in,0.00 in,0 w/m²
25/05/2021 22:10,480.8,144.9,3.8,3.8,5,5,5.2,5.2,1079.7,40.13,79.52,51.4,45.2 °F,79,East,0.3,0.3 mph,30.07 in,0.00 in,0.00 in,0 w/m²
25/05/2021 22:15,522.6,158.5,4.1,4.1,5.4,5.4,5.5,5.5,1108.1,40.32,79.556,51.3,45.2 °F,80,SSE,1,1.0 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 22:20,551.5,172.1,2.9,2.9,4.1,4.1,4.4,4.4,1145.3,40.53,79.61,51.2,45.1 °F,80,South,1.8,1.8 mph,30.07 in,0.00 in,0.00 in,0 w/m²
25/05/2021 22:25,569.3,184.2,3.7,3.7,5,5,5.1,5.1,1166.7,40.58,79.7,51.2,45.1 °F,80,South,2.3,2.4 mph,30.07 in,0.00 in,0.00 in,0 w/m²
25/05/2021 22:30,598.8,196.4,3.3,3.3,4.4,4.4,4.4,4.4,1193,40.66,79.718,51.2,45.2 °F,80,SSE,1.1,1.1 mph,30.07 in,0.00 in,0.00 in,0 w/m²
25/05/2021 22:35,634.7,208,3.2,1.7,4.8,4.8,4.9,4.9,1220.4,40.79,79.754,51,45.3 °F,81,South,0.8,0.9 mph,30.07 in,0.00 in,0.00 in,0 w/m²
25/05/2021 22:40,665,220.8,3.6,3.6,4.8,4.8,4.8,4.8,1244.9,40.95,79.7,50.9,45.6 °F,82,SW,0.8,0.8 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 22:45,693.7,235,3.4,3.4,4.6,4.6,4.9,4.9,1278.3,41.14,79.772,50.7,45.4 °F,82,South,1.8,1.9 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 22:50,720.4,245,3.1,3.1,4.3,3.9,4.8,4.8,1310.1,41.3,79.826,50.8,45.7 °F,83,South,2.2,2.3 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 22:55,745.8,259.6,3.3,3.3,4.9,4.9,5.1,5.1,1347.8,41.48,79.88,50.7,45.6 °F,83,SSW,2.3,2.4 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 23:00,767.5,240.2,3.1,1.5,4.2,4.2,4.2,4.2,1372.1,41.58,79.88,50.7,45.6 °F,83,SSW,1.7,1.7 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 23:05,849.5,288.6,3.1,3.1,4.1,4.1,4.1,4.1,1394,41.67,79.88,50.5,45.6 °F,83,South,1.8,1.9 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 23:10,911.1,315.1,2.7,2.7,3.8,3.8,4.1,4.1,1427.8,41.73,79.88,50.5,45.6 °F,84,South,0.5,0.5 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 23:15,1147.5,380.1,3.1,3.1,3.4,4,4.4,4.4,1445.8,41.84,79.898,50.3,45.5 °F,84,SSW,1.8,1.8 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 23:20,1281.6,424.5,3,3,4.1,4.1,4.8,4.8,1478.2,41.96,80.06,50.1,45.3 °F,84,South,0.1,0.1 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 23:25,1300.2,391.3,2.4,1.4,3.2,3.2,2.8,3.2,1502,42.05,80.06,50,45.1 °F,84,SW,1.9,1.9 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 23:30,1417.3,469.9,2.8,2.8,4.3,4.3,4.3,4.3,1529.5,42.19,80.06,50,45.5 °F,85,SSW,0.1,0.1 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 23:35,1774.4,535.7,2.9,2.4,3.6,3.6,3.7,3.7,1557.9,42.31,80.06,49.7,45.4 °F,85,SW,0.8,0.8 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 23:40,1811.7,546.4,3,2.1,3.9,3.9,4.3,4.3,1578.1,42.45,80.312,49.6,45.3 °F,85,SSW,0.5,0.5 mph,30.06 in,0.00 in,0.00 in,0 w/m²
25/05/2021 23:45,1803.4,548.8,3.1,3.1,3.9,3.9,3.9,3.9,1610.1,42.42,80.312,49.4,45.3 °F,86,South,0.7,0.7 mph,30.05 in,0.00 in,0.00 in,0 w/m²
25/05/2021 23:50,1772.9,547.2,2.4,2.1,3.2,3.2,3.3,3.3,1644.8,42.86,80.204,49.3,45.2 °F,86,ESE,0.3,0.3 mph,30.05 in,0.00 in,0.00 in,0 w/m²
25/05/2021 23:55,1655.4,540,3,3,4.2,4.2,4.3,4.3,1653.9,43.31,79.952,49.2,45.1 °F,86,ENE,0.5,0.5 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 00:00,1588.3,482,2.5,2,3.4,3.4,3.6,3.6,1642,43.52,79.826,49.1,45.4 °F,87,NNE,0.5,0.5 mph,30.05 in,0.00 in,0.00 in,0 w/m²
26/05/2021 00:05,1564.9,536.9,2.9,2,3.9,3.9,4.1,4.1,1630.7,43.54,79.7,49.1,45.5 °F,87,NNE,0.8,0.8 mph,30.05 in,0.00 in,0.00 in,0 w/m²
26/05/2021 00:10,1564.6,536.2,2.7,2.7,3.7,3.7,3.7,3.7,1625.6,43.68,79.7,48.9,45.3 °F,87,NE,0.7,0.7 mph,30.05 in,0.00 in,0.00 in,0 w/m²
26/05/2021 00:15,1760.5,568.4,2.8,2.8,4.4,4.4,4.6,4.6,1665.1,46.9,79.952,48.7,45.1 °F,87,NE,0.5,0.5 mph,30.05 in,0.00 in,0.00 in,0 w/m²
26/05/2021 00:20,1917.9,605,2.9,2.9,3.9,3.9,4.1,4.1,1711.5,48.22,80.024,48.6,45.2 °F,88,NE,0.5,0.5 mph,30.05 in,0.00 in,0.00 in,0 w/m²
26/05/2021 00:25,2479.3,676.4,2.6,2.6,3.8,3.8,4,4,1774.9,50.46,80.06,48.3,44.9 °F,88,NE,0,0.0 mph,30.05 in,0.00 in,0.00 in,0 w/m²
26/05/2021 00:30,2749.1,743.4,3.3,3.3,4.5,4.5,4.6,4.6,1880.6,53.77,80.15,48.2,45.0 °F,89,NE,0.1,0.1 mph,30.05 in,0.00 in,0.00 in,0 w/m²
26/05/2021 00:35,2808.3,803,3.6,3.6,5.1,5.1,5.4,5.4,1999.3,57.73,80.402,48.2,45.2 °F,89,NE,0.2,0.2 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 00:40,2742.2,784.5,3,2,4.9,4.4,5.2,4.7,2098.2,58.88,80.42,48.2,45.1 °F,89,NE,0,0.0 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 00:45,2776,791.2,3.4,3.4,5.2,5.2,5.7,5.7,2140.1,59.8,80.42,48.2,45.1 °F,89,NE,0.6,0.6 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 00:50,2789.5,816.3,4,4,5.4,5.4,6.3,6.3,2174.3,60.21,80.42,48.3,45.1 °F,89,NE,0.2,0.2 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 00:55,2811.8,823.6,3.4,3.4,5.6,5.6,6,6,2215.3,60.77,80.42,48.2,45.1 °F,89,NE,0.3,0.3 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 01:00,3484.2,1054.3,4,3.5,5.6,5.6,6.4,6.4,2227.6,61.48,80.42,48.2,45.1 °F,89,NE,0.5,0.5 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 01:05,3515,980.6,3.4,1.8,5.3,5.3,5.7,5.7,2251,61.71,80.42,48.1,45.0 °F,89,NE,0.1,0.1 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 01:10,3483.7,1092.3,4.1,4.1,5.4,5.4,5.9,5.9,2274.7,61.93,80.42,48,44.9 °F,89,NE,0.3,0.3 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 01:15,3456.9,1083.2,4,4,6.2,6.2,6.8,6.8,2289.1,61.98,80.42,48,44.9 °F,89,NE,0.3,0.3 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 01:20,3438.4,1082.9,3.6,3.6,5.7,5.7,6.6,6.6,2320.5,62.24,80.42,47.6,44.7 °F,90,NE,0,0.0 mph,30.03 in,0.00 in,0.00 in,0 w/m²
26/05/2021 01:25,3391.2,1091.5,4,4,6,6,6.4,6.4,2345.9,62.52,80.456,47.6,44.7 °F,90,NE,0.2,0.2 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 01:30,3354.7,1084.6,4,4,6.5,6.5,6.5,6.5,2276.3,62.48,80.438,47.6,44.7 °F,90,NE,0.1,0.1 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 01:35,3374.1,1098.3,4.1,4.1,6,6,6.5,6.5,2385.1,64.15,80.456,47.6,44.7 °F,90,NE,0.3,0.3 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 01:40,3360.6,1107.4,4.8,3.9,6.9,6.9,7.6,7.6,2418.5,66.8,80.15,47.4,44.6 °F,90,NE,0.5,0.5 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 01:45,3312.4,1098.7,3.5,2.8,5.5,5.5,5.7,5.7,2453.1,66.77,79.988,47.4,44.6 °F,90,NE,0.4,0.4 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 01:50,3300.2,1081.3,4.1,4.1,6.3,6.3,6.7,6.7,2477,66.71,79.88,47.3,44.9 °F,91,NE,0.5,0.5 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 01:55,3296.6,1084.2,3.7,3.7,5.7,5.7,6.1,6.1,2494,66.75,79.79,47.2,44.7 °F,91,NE,0.2,0.2 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 02:00,3270.1,1075,3.9,3.9,5.8,5.8,6.3,6.3,2518,66.97,79.7,47.1,44.6 °F,91,NE,0,0.0 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 02:05,3247.1,1069.6,3.7,2.5,5.5,5.5,5.7,5.7,2539.7,66.99,79.592,47,44.5 °F,91,NE,0.1,0.1 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 02:10,3258.2,1069,4,3.5,5.5,5.5,6.7,6.7,2570.4,67.09,79.52,46.9,44.4 °F,91,NE,0.1,0.1 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 02:15,3249.8,1066.8,4,4,6.1,6.1,6.6,6.6,2600.5,67.08,79.52,46.6,44.1 °F,91,NE,0.1,0.1 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 02:20,3238.1,1064.8,3.7,3.7,5.5,5.5,5.8,5.8,2642.8,67.26,79.34,46.5,44.0 °F,91,NE,0.4,0.4 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 02:25,3257.8,1091.3,4,4,6.1,6.1,6.7,6.7,2664,68.18,79.376,46.5,43.9 °F,91,NE,0.3,0.3 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 02:30,3248.5,1084.3,3.8,2.4,5.5,4.9,5.8,5.2,2686.2,68.22,79.34,46.4,43.8 °F,91,NE,0.5,0.5 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 02:35,3212.6,1079.2,3.4,3.4,5.1,5.1,5.4,5.4,2707.5,68.18,79.34,46.3,43.8 °F,91,NE,0.1,0.1 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 02:40,3235.7,1075.2,3.4,3.4,5.3,5.3,5.9,5.9,2722.3,68.14,79.34,46.2,43.7 °F,91,NE,0.2,0.2 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 02:45,3194,1070.6,3.3,3.3,5.1,5.1,5.5,5.5,2728.4,68.05,79.34,46.1,43.6 °F,91,NE,0.1,0.1 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 02:50,3190.1,1066,4,4,5.2,5.2,5.6,5.6,2728.4,68,79.25,46,43.5 °F,91,NE,0.3,0.3 mph,30.03 in,0.00 in,0.00 in,0 w/m²
26/05/2021 02:55,3187.6,1064.9,3.5,3.5,5.2,5.2,5.3,5.3,2746.3,68.02,79.196,46,43.5 °F,91,NE,0.2,0.2 mph,30.03 in,0.00 in,0.00 in,0 w/m²
26/05/2021 03:00,3182.1,1074.3,3.5,3.5,5.3,5.3,5.5,5.5,2755.2,68.24,79.052,46,43.4 °F,91,NE,0.4,0.4 mph,30.04 in,0.00 in,0.00 in,0 w/m²
26/05/2021 03:05,3177.6,957.5,3.2,3.2,4.6,4.6,4.9,4.9,2765,68.16,79.07,45.8,43.1 °F,90,NE,0.1,0.1 mph,30.04 in,0.00 in,0.00 in,0 w/m²
