time,eco2,pm100_env,pm10_env,pm25_env,TVOC,pm100_standard,pm10_standard,pm25_standard,CO2,hum_in,tem,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
19/06/2021 21:00,586.1,9.5,6.7,9.2,0,9.6,6.7,9.2,524.9,52.9,25.78,78.404,58.4,53.9 °F,85,ENE,4.9,5.3 mph,29.97 in,0.00 in,0.01 in,0,4.4 w/m²
19/06/2021 21:05,688.8,10.1,7.8,9.9,0,9.9,7.8,9.9,550.4,54.09,25.81,78.458,58.2,53.7 °F,85,ENE,5.7,6.1 mph,29.96 in,0.00 in,0.01 in,0,3.5 w/m²
19/06/2021 21:10,720.8,10.7,8,10.5,0,10.7,8,10.5,588,54.78,25.98,78.764,58.2,53.7 °F,85,ENE,5.9,6.4 mph,29.97 in,0.00 in,0.01 in,0,2.8 w/m²
19/06/2021 21:15,758.3,10.9,8,10.5,0,11,8,10.5,634.7,55.22,26.23,79.214,58.2,53.7 °F,85,ENE,6.1,6.7 mph,29.96 in,0.00 in,0.01 in,0,1.7 w/m²
19/06/2021 21:20,923.5,11,7.8,10.6,0,10.9,7.8,10.6,689.4,55.57,26.38,79.484,58.1,53.7 °F,85,East,6.1,6.7 mph,29.96 in,0.00 in,0.01 in,0,0.9 w/m²
19/06/2021 21:25,1011.7,11.2,7.9,11,0,11.2,7.9,11,752.4,55.95,26.56,79.808,58.1,53.7 °F,85,ENE,3.9,4.2 mph,29.97 in,0.00 in,0.01 in,0,0.5 w/m²
19/06/2021 21:30,1401.5,11.5,8.3,11.1,0,11.3,8.3,11.1,808.9,56.26,26.68,80.024,58.1,53.7 °F,85,East,5.1,5.5 mph,29.97 in,0.00 in,0.01 in,0,0.5 w/m²
19/06/2021 21:35,3495.3,11.9,8.4,11.6,15.3,11.8,8.4,11.6,861.8,56.47,26.73,80.114,58,53.6 °F,85,East,6.5,7.2 mph,29.96 in,0.00 in,0.01 in,0,0.2 w/m²
19/06/2021 21:40,3507.2,11.4,8.2,11.1,23.9,11.5,8.2,11.1,912.1,56.7,26.8,80.24,57.9,53.4 °F,85,East,3.7,3.8 mph,29.96 in,0.00 in,0.01 in,0,0 w/m²
19/06/2021 21:45,3388.9,11.3,8.2,11.1,19.6,11.5,8.2,11.1,954.3,56.88,26.84,80.312,57.9,53.3 °F,85,ENE,4.4,4.7 mph,29.96 in,0.00 in,0.01 in,0,0 w/m²
19/06/2021 21:50,3410,11.2,8.1,10.8,29,11,8.1,10.8,998.1,57.17,26.9,80.42,57.8,53.3 °F,85,ENE,4.6,5.0 mph,29.96 in,0.00 in,0.01 in,0,0 w/m²
19/06/2021 21:55,3432.7,11.6,8.7,11.4,36.9,11.7,8.7,11.4,1042.6,57.41,26.91,80.438,57.7,53.2 °F,85,NE,4.4,4.6 mph,29.96 in,0.00 in,0.01 in,0,0 w/m²
19/06/2021 22:00,3621.9,10.6,7.9,10.5,63.6,10.8,7.9,10.5,1087.4,57.65,26.9,80.42,57.7,53.2 °F,85,ENE,3.1,3.2 mph,29.95 in,0.00 in,0.01 in,0,0 w/m²
19/06/2021 22:05,4942.2,10.5,7.5,10.4,192.9,10.5,7.5,10.4,1135.3,57.93,26.91,80.438,57.7,53.2 °F,85,NE,2.7,2.8 mph,29.96 in,0.00 in,0.01 in,0,0 w/m²
19/06/2021 22:10,4778.5,11.3,7.7,11.1,188.4,11.2,7.7,11.1,1178,58.18,26.96,80.528,57.7,53.2 °F,85,ENE,4.1,4.4 mph,29.96 in,0.00 in,0.01 in,0,0 w/m²
19/06/2021 22:15,6670.1,10,7.7,9.8,278.9,10,7.7,9.8,1215.6,58.56,26.97,80.546,57.7,53.4 °F,86,ENE,3.8,4.0 mph,29.96 in,0.00 in,0.01 in,0,0 w/m²
19/06/2021 22:20,7196.5,8.7,6.7,8.7,312.9,8.8,6.7,8.7,1265.2,58.75,26.99,80.582,57.7,53.4 °F,86,NE,4.1,4.3 mph,29.97 in,0.00 in,0.01 in,0,0 w/m²
