time,eco2,TVOC,pm10_env,pm10_standard,pm25_env,pm25_standard,pm100_env,pm100_standard,tem,CO2,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
04/06/2021 21:00,415.1,0,10.9,10.9,15.1,15.1,15.1,15.1,25.62,408.7,54.63,78.116,57.7,54.8 °F,90,North,2.5,2.5 mph,30.34 in,0.00 in,0.39 in,0,5 w/m²
04/06/2021 21:05,498.5,0,11.8,11.8,14.3,14.3,14.6,14.6,25.69,453.3,55.57,78.242,57.9,54.9 °F,90,,3.6,3.8 mph,30.34 in,0.00 in,0.39 in,0,4.1 w/m²
04/06/2021 21:10,581.4,0,9.6,6.4,12.6,14.1,14.3,14.3,25.97,501.6,55.94,78.746,57.9,54.8 °F,89,,2.7,2.8 mph,30.35 in,0.00 in,0.39 in,0,3.1 w/m²
04/06/2021 21:15,640.5,0,11.3,11.3,14.4,14.4,14.4,14.4,26.24,553.3,55.84,79.232,58,54.9 °F,89,North,3.3,3.5 mph,30.35 in,0.00 in,0.39 in,0,1.7 w/m²
04/06/2021 21:20,706.7,0,11.2,6.3,14.7,14.7,14.8,14.8,26.49,609.3,55.67,79.682,57.7,54.6 °F,89,,3.8,4.2 mph,30.35 in,0.00 in,0.39 in,0,1.4 w/m²
04/06/2021 21:25,778.5,0.2,11,11,14.2,14.2,14.7,14.7,26.66,669.1,55.7,79.988,57.9,54.8 °F,89,NNE,2.2,2.3 mph,30.35 in,0.00 in,0.39 in,0,1.2 w/m²
04/06/2021 21:30,882.6,22.3,10.5,10.5,13.8,13.8,13.9,13.9,26.76,726.4,55.75,80.168,57.7,54.6 °F,89,NNE,3.7,3.9 mph,30.36 in,0.00 in,0.39 in,0,0.8 w/m²
04/06/2021 21:35,941,52.4,10.3,10.3,13.6,13.6,13.6,13.6,26.87,774.2,55.94,80.366,57.7,54.6 °F,89,NNE,2.7,2.7 mph,30.35 in,0.00 in,0.39 in,0,0.4 w/m²
04/06/2021 21:40,1021.7,84.6,10.9,10.9,13.8,13.8,13.8,12.6,26.93,813.2,56.03,80.474,57.8,54.7 °F,89,NE,3.2,3.4 mph,30.36 in,0.00 in,0.39 in,0,0 w/m²
04/06/2021 21:45,1084.1,101.3,9.4,5.4,11,12.4,12.5,12.5,26.99,862.1,56.28,80.582,57.8,54.7 °F,89,NE,2.5,2.6 mph,30.36 in,0.00 in,0.39 in,0,0 w/m²
04/06/2021 21:50,1141.1,137.8,11,11,13.8,13.8,13.9,13.9,27,895.2,56.4,80.6,57.7,54.7 °F,89,,2.7,2.7 mph,30.35 in,0.00 in,0.39 in,0,0 w/m²
04/06/2021 21:55,1195.6,159.3,10.6,10.6,13.4,13.4,13.4,13.4,27,939.9,56.59,80.6,57.7,54.6 °F,89,NW,2.1,2.1 mph,30.36 in,0.00 in,0.39 in,0,0 w/m²
04/06/2021 22:00,1224.1,175.7,10,6,13.4,11.9,13.6,13.6,27.02,987,56.79,80.636,57.8,54.7 °F,89,NNW,2.5,2.5 mph,30.35 in,0.00 in,0.39 in,0,0 w/m²
04/06/2021 22:05,1250.2,188.1,10.8,10.8,13.7,13.7,14.1,14.1,27.07,1008,56.9,80.726,57.9,54.8 °F,89,NNW,2.4,2.5 mph,30.36 in,0.00 in,0.39 in,0,0 w/m²
04/06/2021 22:10,1277.3,200.5,10.5,10.5,13.2,13.2,13.4,13.4,27.1,1034.8,57.07,80.78,57.9,54.8 °F,89,,2.2,2.2 mph,30.36 in,0.00 in,0.39 in,0,0 w/m²
04/06/2021 22:15,1296.5,213.7,10.1,10.1,13.3,13.3,13.3,13.3,27.1,1064.3,57.24,80.78,57.7,54.6 °F,89,NNE,2.6,2.7 mph,30.35 in,0.00 in,0.39 in,0,0 w/m²
04/06/2021 22:20,1315.5,200.2,9.9,9.9,12.5,12.5,12.6,12.6,27.1,1083.1,57.34,80.78,57.7,54.6 °F,89,NE,2.3,2.4 mph,30.36 in,0.00 in,0.39 in,0,0 w/m²
