time,Eco2,TVOC,pm10_env,pm10_standard,PM2.5,pm25_standard,pm100_env,pm100_standard,tem,CO2,Humidity_in,Temp_in
13/06/2021 21:00,400,354,9.5,9.5,12,12,14.5,14.5,30.4,518,52.35,86.72
13/06/2021 21:01,407,350.5,10.5,10.5,14,14,14,14,30.4,519.5,52.3,86.72
13/06/2021 21:02,457.5,391.5,10.5,10.5,13.5,13.5,14,14,30.4,520.5,52.4,86.72
13/06/2021 21:03,413.5,375,10,10,14,14,14,14,30.4,523,52.5,86.72
13/06/2021 21:04,430.5,373.5,10.5,10.5,15.5,15.5,15.5,15.5,30.4,524,52.55,86.72
13/06/2021 21:05,454.5,390,11,11,13,13,13,13,30.4,527,52.65,86.72
13/06/2021 21:06,487,394.5,11,11,15,15,15,15,30.4,534,52.75,86.72
13/06/2021 21:07,505.5,410,11,11,14,14,14,14,30.4,542.5,52.9,86.72
13/06/2021 21:08,528.5,424.5,10.5,10.5,13.5,13.5,13.5,13.5,30.4,552,53.05,86.72
13/06/2021 21:09,536,432,11,11,16.5,16.5,17,17,30.4,558.5,53.1,86.72
13/06/2021 21:10,547,437,10,10,13.5,13.5,13.5,13.5,30.4,567.5,53.2,86.72
13/06/2021 21:11,567,445.5,11,11,13.5,13.5,13.5,13.5,30.4,576.5,53.3,86.72
13/06/2021 21:12,580,449,12,12,15,15,15,15,30.4,584.5,53.4,86.72
13/06/2021 21:13,594.5,461.5,10.5,10.5,13.5,13.5,13.5,13.5,30.4,594.5,53.45,86.72
13/06/2021 21:14,610,465,12,12,15,15,15,15,30.45,605,53.55,86.81
13/06/2021 21:15,618,472.5,11.5,11.5,15,15,16,16,30.5,614.5,53.65,86.9
13/06/2021 21:16,621,483.5,10.5,10.5,14,14,14,14,30.5,621,53.75,86.9
13/06/2021 21:17,642,484,10.5,10.5,14,14,14.5,14.5,30.5,629.5,53.85,86.9
13/06/2021 21:18,652,491.5,10,10,12.5,12.5,13,13,30.5,639,53.95,86.9
13/06/2021 21:19,661,501.5,11,11,14,14,14,14,30.45,651.5,54.05,86.81
13/06/2021 21:20,661.5,502.5,9,9,12.5,12.5,12.5,12.5,30.5,662,54.25,86.9
13/06/2021 21:21,682,504,10.5,10.5,15,15,16,16,30.5,672,54.3,86.9
13/06/2021 21:22,678,510.5,10.5,10.5,13,13,15.5,15.5,30.5,680,54.3,86.9
13/06/2021 21:23,685,514,10,10,13,13,13,13,30.5,685.5,54.4,86.9
13/06/2021 21:24,700,523,9.5,9.5,12,12,12.5,12.5,30.5,692,54.5,86.9
13/06/2021 21:25,707.5,520,9.5,9.5,13.5,13.5,14,14,30.5,698.5,54.55,86.9
13/06/2021 21:26,716,532,10.5,10.5,13.5,13.5,14.5,14.5,30.5,704,54.7,86.9
13/06/2021 21:27,727.5,533.5,11,11,14,14,14,14,30.5,710.5,54.8,86.9
13/06/2021 21:28,729.5,535.5,9.5,9.5,12,12,12,12,30.5,717.5,54.9,86.9
13/06/2021 21:29,741,538.5,9.5,9.5,12,12,13,13,30.5,724,54.95,86.9
13/06/2021 21:30,747.5,545,10.5,10.5,14,14,14,14,30.5,730.5,55.05,86.9
13/06/2021 21:31,757,545,10.5,10.5,13,13,13,13,30.5,738,55.1,86.9
13/06/2021 21:32,761.5,553.5,10.5,10.5,13,13,13,13,30.5,747.5,55.2,86.9
